,Determina,Modello,Temperature,Checklist,Municipality,determina_in,accuracy,precision,recall,f1_score,balanced_accuracy,confusion_matrix
0,det_00041_15-01-2025,gpt-4o-mini,0.0,Contratti,Lucca,user,0.5555555555555556,0.47619047619047616,0.5555555555555556,0.4666666666666667,0.5555555555555555,"[[3, 0, 0], [1, 2, 0], [3, 0, 0]]"
1,det_00062_17-01-2025,gpt-4o-mini,0.0,Determine,Lucca,user,0.6363636363636364,0.8051948051948052,0.6363636363636364,0.703030303030303,0.4166666666666667,"[[0, 1, 0], [2, 6, 0], [1, 0, 1]]"
2,det_00427_28-02-2025,gpt-4o-mini,0.0,Determine,Lucca,user,0.8181818181818182,0.9090909090909091,0.8181818181818182,0.8484848484848485,0.7916666666666666,"[[1, 0, 0], [0, 7, 0], [0, 1, 1]]"
3,det_00041_15-01-2025,gpt-4o-mini,0.01,Contratti,Lucca,user,0.5555555555555556,0.47619047619047616,0.5555555555555556,0.4666666666666667,0.5555555555555555,"[[3, 0, 0], [1, 2, 0], [3, 0, 0]]"
4,det_00062_17-01-2025,gpt-4o-mini,0.01,Determine,Lucca,user,0.6363636363636364,0.787878787878788,0.6363636363636364,0.7012987012987013,0.5416666666666666,"[[0, 1, 0], [2, 5, 0], [0, 0, 2]]"
5,det_00427_28-02-2025,gpt-4o-mini,0.01,Determine,Lucca,user,0.8181818181818182,0.9090909090909091,0.8181818181818182,0.8484848484848485,0.7916666666666666,"[[1, 0, 0], [0, 7, 0], [0, 1, 1]]"
6,det_00041_15-01-2025,gpt-4o-mini,0.2,Contratti,Lucca,user,0.5555555555555556,0.47619047619047616,0.5555555555555556,0.4666666666666667,0.5555555555555555,"[[3, 0, 0], [1, 2, 0], [3, 0, 0]]"
7,det_00062_17-01-2025,gpt-4o-mini,0.2,Determine,Lucca,user,0.5454545454545454,0.787878787878788,0.5454545454545454,0.6406926406926406,0.375,"[[0, 1, 0], [1, 5, 0], [0, 0, 1]]"
8,det_00427_28-02-2025,gpt-4o-mini,0.2,Determine,Lucca,user,0.8181818181818182,0.9090909090909091,0.8181818181818182,0.8484848484848485,0.7916666666666666,"[[1, 0, 0], [0, 7, 0], [0, 1, 1]]"
9,det_00041_15-01-2025,gpt-4o-mini,0.5,Contratti,Lucca,user,0.5555555555555556,0.47619047619047616,0.5555555555555556,0.4666666666666667,0.5555555555555555,"[[3, 0, 0], [1, 2, 0], [3, 0, 0]]"
10,det_00062_17-01-2025,gpt-4o-mini,0.5,Determine,Lucca,user,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.25,"[[0, 1, 0], [2, 6, 0], [0, 1, 0]]"
11,det_00427_28-02-2025,gpt-4o-mini,0.5,Determine,Lucca,user,0.7272727272727273,0.8354978354978354,0.7272727272727273,0.7484848484848485,0.75,"[[1, 0, 0], [2, 6, 0], [0, 1, 1]]"
12,det_00041_15-01-2025,gpt-4o-mini,1.0,Contratti,Lucca,user,0.5555555555555556,0.5,0.5555555555555556,0.48888888888888893,0.5555555555555555,"[[3, 0, 0], [0, 2, 0], [3, 0, 0]]"
13,det_00062_17-01-2025,gpt-4o-mini,1.0,Determine,Lucca,user,0.6363636363636364,0.8051948051948052,0.6363636363636364,0.703030303030303,0.4166666666666667,"[[0, 1, 0], [2, 6, 0], [1, 0, 1]]"
14,det_00427_28-02-2025,gpt-4o-mini,1.0,Determine,Lucca,user,0.8181818181818182,0.8636363636363636,0.8181818181818182,0.8181818181818182,0.7916666666666666,"[[1, 0, 0], [1, 7, 0], [0, 1, 1]]"
15,det_00041_15-01-2025,gpt-4o-mini,0.0,Contratti,Lucca,system,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.6793650793650794,0.6666666666666666,"[[2, 1, 0], [1, 2, 0], [1, 0, 2]]"
16,det_00062_17-01-2025,gpt-4o-mini,0.0,Determine,Lucca,system,0.8181818181818182,0.7575757575757577,0.8181818181818182,0.7818181818181817,0.625,"[[0, 1, 0], [0, 7, 1], [0, 0, 2]]"
17,det_00427_28-02-2025,gpt-4o-mini,0.0,Determine,Lucca,system,0.7272727272727273,0.7474747474747474,0.7272727272727273,0.7201426024955436,0.4583333333333333,"[[0, 1, 0], [1, 7, 0], [0, 1, 1]]"
18,det_00041_15-01-2025,gpt-4o-mini,0.01,Contratti,Lucca,system,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777777,"[[2, 1, 0], [1, 2, 0], [0, 0, 3]]"
19,det_00062_17-01-2025,gpt-4o-mini,0.01,Determine,Lucca,system,0.8181818181818182,0.7575757575757577,0.8181818181818182,0.7818181818181817,0.625,"[[0, 1, 0], [0, 7, 1], [0, 0, 2]]"
20,det_00427_28-02-2025,gpt-4o-mini,0.01,Determine,Lucca,system,0.7272727272727273,0.7474747474747474,0.7272727272727273,0.7201426024955436,0.4583333333333333,"[[0, 1, 0], [1, 7, 0], [0, 1, 1]]"
21,det_00041_15-01-2025,gpt-4o-mini,0.2,Contratti,Lucca,system,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.6793650793650794,0.6666666666666666,"[[2, 1, 0], [1, 2, 0], [1, 0, 2]]"
22,det_00062_17-01-2025,gpt-4o-mini,0.2,Determine,Lucca,system,0.8181818181818182,0.7575757575757577,0.8181818181818182,0.7818181818181817,0.625,"[[0, 1, 0], [0, 7, 1], [0, 0, 2]]"
